date,ret_pct,kp_chain,la_chain,kp_panchang,la_panchang
2022-01-19,-1.052,0.72,0.0,2.5,2.5
2022-01-20,-0.915,0.22,0.22,2.5,2.5
2022-01-21,0.02,-0.16,-0.16,2.5,2.5
2022-01-24,-2.424,0.0,0.0,2.5,2.5
2022-01-25,1.626,0.72,0.72,1.5,1.5
2022-01-27,0.282,0.44,0.44,1.5,1.5
2022-01-28,-0.618,0.5,0.5,1.5,1.5
2022-01-31,0.224,-1.0,-1.0,-1.5,-1.5
2022-02-01,0.27,-0.75,-0.75,-2.5,-2.5
2022-02-02,0.417,0.5,0.5,2.5,2.5
2022-02-03,-1.168,-0.12,-0.12,1.5,1.5
2022-02-04,-0.42,0.06,0.06,0.5,0.5
2022-02-07,-1.39,0.28,0.28,2.5,2.5
2022-02-08,-0.076,-1.0,-1.0,2.5,2.5
2022-02-09,0.539,-0.67,-0.67,2.5,2.5
2022-02-10,0.295,0.0,0.0,0.5,0.5
2022-02-11,-0.437,0.56,0.56,0.5,0.5
2022-02-14,-1.367,-0.16,-0.16,2.5,2.5
2022-02-15,2.476,0.28,0.28,0.5,0.5
2022-02-16,-0.495,0.72,0.72,2.5,2.5
2022-02-17,-0.529,0.78,0.78,1.5,1.5
2022-02-18,0.234,-1.0,-1.0,2.5,2.5
2022-02-21,0.084,-0.16,-0.16,1.5,1.5
2022-02-22,1.45,0.28,0.28,2.5,2.5
2022-02-23,-0.763,0.34,0.34,1.5,1.5
2022-02-24,-1.819,-0.34,-0.34,2.5,2.5
2022-02-25,0.864,-0.16,-0.16,0.5,0.5
2022-02-28,1.895,0.56,0.56,2.5,2.5
2022-03-02,0.077,0.06,0.06,-1.5,-1.5
2022-03-03,-1.346,0.0,0.0,0.5,0.5
2022-03-04,-0.576,-0.34,-0.34,2.5,2.5
2022-03-07,-0.03,-0.14,-0.14,2.5,2.5
2022-03-08,1.687,0.207,0.207,1.5,1.5
2022-03-09,1.663,-0.147,-0.147,1.5,1.5
2022-03-10,-0.968,0.5,0.5,2.5,2.5
2022-03-11,0.615,0.12,0.12,0.5,0.5
2022-03-14,1.428,0.0,0.0,1.5,1.5
2022-03-15,-1.406,0.28,0.28,2.5,2.5
2022-03-16,0.585,0.5,0.5,1.5,1.5
2022-03-17,0.489,-0.78,-0.78,-0.5,-0.5
2022-03-21,-1.223,-0.28,-0.28,1.5,1.5
2022-03-22,1.14,-0.75,-0.75,0.5,0.5
2022-03-23,-0.916,-0.16,-0.16,2.5,2.5
2022-03-24,0.748,0.28,0.28,1.5,1.5
2022-03-25,-0.787,0.5,0.5,2.5,2.5
2022-03-28,0.234,-1.0,-1.0,2.5,2.5
2022-03-29,0.162,0.5,0.5,2.5,2.5
2022-03-30,0.172,0.5,0.5,2.5,2.5
2022-03-31,-0.311,-0.5,-0.5,-1.5,-1.5
2022-04-01,1.339,0.34,0.34,-1.5,-1.5
2022-04-04,1.372,0.5,0.5,1.5,1.5
2022-04-05,-0.681,0.5,0.5,0.5,0.5
2022-04-06,-0.197,0.5,0.5,2.5,2.5
2022-04-07,-0.473,-1.0,-1.0,2.5,2.5
2022-04-08,0.487,0.06,0.06,2.5,2.5
2022-04-11,-0.372,0.0,0.0,0.5,0.5
2022-04-12,-0.31,-0.22,-0.22,1.5,1.5
2022-04-13,-0.706,-0.22,-0.22,1.5,1.5
2022-04-18,-0.057,-0.5,-0.5,1.5,1.5
2022-04-19,-1.74,0.78,0.78,1.5,1.5
2022-04-20,0.536,0.44,0.44,0.5,0.5
2022-04-21,0.917,-0.16,-0.16,1.5,1.5
2022-04-22,-0.411,0.12,0.12,2.5,2.5
2022-04-25,-0.324,0.5,0.5,1.5,1.5
2022-04-26,0.464,-0.16,-0.16,2.5,2.5
2022-04-27,-0.205,-0.25,-0.25,2.5,2.5
2022-04-28,0.323,-0.34,-0.34,1.5,1.5
2022-04-29,-1.308,-0.16,-0.16,-0.5,-0.5
2022-05-02,0.855,0.28,0.28,2.5,2.5
2022-05-04,-2.451,0.0,0.0,1.5,1.5
2022-05-05,-1.021,-1.0,-1.0,0.5,0.5
2022-05-06,-0.026,-0.34,-0.34,1.5,1.5
2022-05-09,0.457,0.78,0.78,2.5,2.5
2022-05-10,-0.054,0.5,0.5,-0.5,-0.5
2022-05-11,-0.633,0.56,0.56,0.5,0.5
2022-05-12,-1.33,-0.5,-0.5,2.5,2.5
2022-05-13,-1.22,-1.0,-1.0,2.5,2.5
2022-05-16,-0.018,-0.11,-0.11,2.5,2.5
2022-05-17,2.179,0.56,0.56,2.5,2.5
2022-05-18,-0.477,-0.12,-0.12,2.5,2.5
2022-05-19,-0.679,-0.56,-0.56,0.5,0.5
2022-05-20,1.386,0.0,0.0,2.5,2.5
2022-05-23,-0.468,0.5,0.5,1.5,1.5
2022-05-24,-0.619,-0.56,-0.56,-0.5,-0.5
2022-05-25,-1.053,-0.56,-0.56,1.5,1.5
2022-05-26,0.405,-0.16,-0.16,2.5,2.5
2022-05-27,0.343,-0.5,-0.5,2.5,2.5
2022-05-30,0.808,0.78,0.78,-1.5,-1.5
2022-05-31,0.037,0.5,0.5,-0.5,-0.5
2022-06-01,-0.432,0.12,0.12,1.5,1.5
2022-06-02,0.888,-0.34,-0.34,1.5,1.5
2022-06-03,-1.058,-0.44,-0.44,0.5,0.5
2022-06-06,0.235,-0.34,-0.34,2.5,2.5
2022-06-07,-0.323,0.0,0.0,2.5,2.5
2022-06-08,-0.72,0.17,0.17,1.5,1.5
2022-06-09,1.317,0.5,0.5,-0.5,-0.5
2022-06-10,-0.504,-0.78,-0.78,1.5,1.5
2022-06-13,-0.65,-0.16,-0.16,0.5,0.5
2022-06-14,0.369,0.0,0.0,2.5,2.5
2022-06-15,-0.236,0.22,0.22,2.5,2.5
2022-06-16,-2.979,-0.78,-1.0,2.5,2.5
2022-06-17,0.137,-0.56,-0.56,2.5,2.5
2022-06-20,0.102,-0.56,-0.56,2.5,2.5
2022-06-21,1.183,0.34,0.34,2.5,2.5
2022-06-22,-0.851,-0.16,-0.16,0.5,0.5
2022-06-23,0.68,0.5,0.5,0.5,0.5
2022-06-24,0.267,-0.28,-0.28,2.5,2.5
2022-06-27,-0.591,0.0,0.0,-0.5,-0.5
2022-06-28,0.589,-0.28,-0.28,-2.5,-2.5
2022-06-29,0.62,-0.5,-0.5,-1.5,-1.5
2022-06-30,0.036,-1.0,-1.0,1.5,1.5
2022-07-01,0.308,0.0,0.0,1.5,1.5
2022-07-04,0.795,-1.0,-1.0,1.5,1.5
2022-07-05,-0.618,0.28,0.28,1.5,1.5
2022-07-06,1.085,0.5,0.5,2.5,2.5
2022-07-07,0.119,0.0,0.0,1.5,1.5
2022-07-08,-0.326,-0.05,-0.05,0.5,0.5
2022-07-11,0.495,-0.16,-0.16,2.5,2.5
2022-07-12,-0.421,-0.16,-0.16,2.5,2.5
2022-07-13,-1.002,-0.16,-0.16,2.5,2.5
2022-07-14,-0.501,0.36,0.36,1.5,1.5
2022-07-15,0.24,0.5,0.5,2.5,2.5
2022-07-18,0.787,-0.927,-0.927,2.5,2.5
2022-07-19,0.948,0.67,0.67,1.5,1.5
2022-07-20,-0.253,1.0,1.0,2.5,2.5
2022-07-21,0.494,0.56,0.56,1.5,1.5
2022-07-22,0.349,0.28,0.28,-0.5,-0.5
2022-07-25,-0.189,0.0,0.0,1.5,1.5
2022-07-26,-0.896,0.34,0.34,1.5,1.5
2022-07-27,1.01,-0.72,-0.72,0.5,0.5
2022-07-28,0.923,0.16,0.16,-1.5,-1.5
2022-07-29,0.461,0.17,0.17,-0.5,-0.5
2022-08-01,0.562,0.28,0.28,-0.5,-0.5
2022-08-02,0.204,0.5,0.5,2.5,2.5
2022-08-03,0.224,0.5,0.5,2.5,2.5
2022-08-04,-0.464,-0.16,-0.16,2.5,2.5
2022-08-05,-0.15,0.28,0.28,2.5,2.5
2022-08-08,0.71,0.06,0.06,2.5,2.5
2022-08-10,-0.178,-0.05,-0.05,2.5,2.5
2022-08-11,-0.297,-0.12,-0.12,0.5,0.5
2022-08-12,0.218,-0.44,-0.44,2.5,2.5
2022-08-16,0.158,-0.16,-0.16,1.5,1.5
2022-08-17,0.426,-0.12,-0.56,1.5,1.5
2022-08-18,0.323,0.23,0.23,2.5,2.5
2022-08-19,-1.158,-0.16,-0.16,1.5,1.5
2022-08-22,-1.087,-0.16,-0.16,2.5,2.5
2022-08-23,1.268,-0.34,-0.34,1.5,1.5
2022-08-24,0.454,0.0,0.0,1.5,1.5
2022-08-25,-0.886,0.28,0.28,2.5,2.5
2022-08-26,-0.343,0.5,0.5,-2.5,-2.5
2022-08-29,0.723,0.34,0.34,2.5,2.5
2022-08-30,1.977,-1.0,-1.0,2.5,2.5
2022-09-01,0.327,0.0,0.0,2.5,2.5
2022-09-02,-0.335,0.22,0.22,2.5,2.5
2022-09-05,0.68,0.0,0.0,0.5,0.5
2022-09-06,-0.227,-0.05,-0.05,2.5,2.5
2022-09-07,0.599,0.12,0.12,2.5,2.5
2022-09-08,0.285,0.25,0.25,1.5,1.5
2022-09-09,-0.502,-0.06,-0.06,0.5,0.5
2022-09-12,0.254,0.5,0.5,1.5,1.5
