date,open,close,high,low
2011-01-03,11882.099609375,11855.75,11912.150390625,11826.9501953125
2011-01-04,11868.400390625,11564.0498046875,11872.7998046875,11545.5498046875
2011-01-05,11545.75,11305.4501953125,11545.75,11265.5498046875
2011-01-06,11350.7001953125,11186.7998046875,11377.099609375,11164.75
2011-01-07,11146.4501953125,11053.349609375,11258.5,11007.900390625
2011-01-10,11024.5,10700.650390625,11072.7001953125,10671.599609375
2011-01-11,10734.2001953125,10833.5498046875,10951.2001953125,10620.7998046875
2011-01-12,10906.400390625,11128.150390625,11161.150390625,10728.4501953125
2011-01-13,11125.9501953125,10716.650390625,11127.9501953125,10676.5
2011-01-14,10746.7998046875,10432.900390625,10907.2998046875,10387.900390625
2011-01-17,10459.599609375,10471.099609375,10571.7998046875,10373.7998046875
2011-01-18,10534.2998046875,10618.5,10677.9501953125,10520.2998046875
2011-01-19,10646.0,10615.150390625,10715.0498046875,10562.25
2011-01-20,10579.25,10798.349609375,10878.7998046875,10493.25
2011-01-21,10750.400390625,10889.400390625,10923.7001953125,10740.0
2011-01-24,10923.75,11151.150390625,11177.849609375,10913.4501953125
2011-01-25,11183.5498046875,10872.9501953125,11256.9501953125,10849.400390625
2011-01-27,10946.400390625,10676.150390625,10970.849609375,10639.849609375
2011-01-28,10690.0498046875,10578.25,10736.400390625,10481.099609375
2011-01-31,10444.349609375,10641.849609375,10696.2998046875,10400.25
2011-02-01,10683.4501953125,10481.2001953125,10683.4501953125,10457.7998046875
2011-02-02,10599.0,10470.150390625,10614.9501953125,10418.2001953125
2011-02-03,10460.9501953125,10670.599609375,10704.2998046875,10429.5
2011-02-04,10632.900390625,10433.849609375,10772.4501953125,10385.900390625
2011-02-07,10457.7998046875,10384.0498046875,10509.7998046875,10354.599609375
2011-02-08,10431.0498046875,10147.75,10431.0498046875,10119.4501953125
2011-02-09,10131.349609375,10116.650390625,10294.7998046875,10038.150390625
2011-02-10,10106.25,10074.099609375,10227.75,10017.849609375
2011-02-11,10061.400390625,10447.75,10473.4501953125,10061.400390625
2011-02-14,10477.849609375,10802.5498046875,10815.7001953125,10477.849609375
2011-02-15,10821.5,10959.7001953125,11035.150390625,10722.7001953125
2011-02-16,10929.25,10960.7001953125,11024.25,10908.650390625
2011-02-17,10996.25,11134.7001953125,11190.2001953125,10918.099609375
2011-02-18,11153.7998046875,10949.7001953125,11300.4501953125,10915.349609375
2011-02-21,10935.2998046875,11050.099609375,11070.349609375,10806.2998046875
2011-02-22,10957.5,10836.7998046875,10957.5,10777.650390625
2011-02-23,10776.7998046875,10646.4501953125,10857.849609375,10628.650390625
2011-02-24,10603.25,10210.75,10643.25,10169.0
2011-02-25,10329.650390625,10435.849609375,10510.5,10263.150390625
2011-02-28,10512.2001953125,10435.349609375,10744.849609375,10364.349609375
2011-03-01,10541.9501953125,10885.400390625,10906.150390625,10528.349609375
2011-03-03,10805.0,10914.5,11066.400390625,10759.7001953125
2011-03-04,11008.900390625,10963.400390625,11134.099609375,10924.099609375
2011-03-07,10886.099609375,10782.25,10886.099609375,10658.2998046875
2011-03-08,10782.599609375,10931.5498046875,10962.7001953125,10779.150390625
2011-03-09,10987.400390625,10974.7998046875,11054.0,10904.599609375
2011-03-10,10920.650390625,10850.25,10920.650390625,10783.2998046875
2011-03-11,10772.900390625,10740.9501953125,10904.2001953125,10697.099609375
2011-03-14,10730.400390625,10893.25,10916.650390625,10730.400390625
2011-03-15,10673.900390625,10725.7998046875,10784.2001953125,10591.2998046875
2011-03-16,10777.099609375,10957.599609375,11001.25,10777.099609375
2011-03-17,10881.849609375,10851.9501953125,11018.2998046875,10824.400390625
2011-03-18,10882.0,10715.900390625,10927.25,10699.400390625
2011-03-21,10795.650390625,10723.599609375,10814.75,10661.150390625
2011-03-22,10759.9501953125,10771.2998046875,10822.25,10726.25
2011-03-23,10755.849609375,10958.099609375,10972.2998046875,10744.7001953125
2011-03-24,11001.75,11070.349609375,11112.599609375,11001.75
2011-03-25,11179.2001953125,11387.2998046875,11420.400390625,11136.4501953125
2011-03-28,11348.849609375,11523.400390625,11599.0,11348.150390625
2011-03-29,11522.75,11582.5,11657.599609375,11507.4501953125
2011-03-30,11625.5,11765.2001953125,11801.650390625,11625.5
2011-03-31,11804.9501953125,11705.4501953125,11898.400390625,11569.25
2011-04-01,11713.0498046875,11590.9501953125,11738.4501953125,11540.849609375
2011-04-04,11614.4501953125,11804.2998046875,11840.7001953125,11614.4501953125
2011-04-05,11853.599609375,11798.900390625,11861.150390625,11678.099609375
2011-04-06,11784.5498046875,11730.0498046875,11838.0498046875,11686.5498046875
2011-04-07,11724.75,11754.400390625,11825.0,11656.7001953125
2011-04-08,11751.7998046875,11673.25,11853.349609375,11632.5498046875
2011-04-11,11591.0,11597.7998046875,11637.0,11551.75
2011-04-13,11531.4501953125,11839.5,11856.349609375,11490.5498046875
2011-04-15,11810.099609375,11735.650390625,11950.7001953125,11707.599609375
2011-04-18,11754.2001953125,11539.75,11887.099609375,11525.0498046875
2011-04-19,11562.9501953125,11586.75,11631.150390625,11482.150390625
2011-04-20,11678.7001953125,11794.5498046875,11813.7001953125,11614.599609375
2011-04-21,11857.4501953125,11894.75,11926.0498046875,11836.9501953125
2011-04-25,11860.349609375,11879.0,11978.0498046875,11860.349609375
2011-04-26,11903.7998046875,11867.7001953125,11912.4501953125,11709.7998046875
2011-04-27,11922.2998046875,11779.849609375,11936.349609375,11732.25
2011-04-28,11851.75,11684.7998046875,11855.2001953125,11659.5
